object,method,pad,witness,point_object_x_m,point_object_y_m,point_object_z_m,object_outward_normal_x,object_outward_normal_y,object_outward_normal_z,object_source_face_index,source,isaac_measured_contact_geometry
Current D38999/26KJ61SN,baseline,1,20,-0.023033617113553735,-0.0064479683168453955,0.010567638755679953,-0.9569400608304213,-0.29028558348266204,0.0,100300,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,21,-0.023182221560080755,-0.0062116573423096205,0.009000000427477055,0.25881923349729663,-0.9659257758088206,0.0,100291,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,22,-0.023264493804354996,-0.0058464723728973295,0.009910151209291215,0.25881923349729663,-0.9659257758088206,0.0,100291,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,23,-0.023182221560080755,-0.0062116573423096205,0.009000000427477055,0.25881923349729663,-0.9659257758088206,0.0,100291,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,24,-0.023182221560080755,-0.0062116573423096205,0.009000000427477055,0.25881923349729663,-0.9659257758088206,0.0,100291,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,25,-0.02308369400538124,-0.006202951473646398,0.011234908469302335,-0.9569400608304213,-0.29028558348266204,0.0,100301,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,26,-0.02308369400538124,-0.006202951473646398,0.011234908469302335,-0.9569400608304213,-0.29028558348266204,0.0,100301,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,27,-0.02308369400538124,-0.006202951473646398,0.011234908469302335,-0.9569400608304213,-0.29028558348266204,0.0,100301,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,28,-0.023264493804354996,-0.0058464723728973295,0.009910151209291215,0.25881923349729663,-0.9659257758088206,0.0,100291,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
Current D38999/26KJ61SN,baseline,1,29,-0.023264493804354996,-0.0058464723728973295,0.009910151209291215,0.25881923349729663,-0.9659257758088206,0.0,100291,DETERMINISTIC_OFFLINE_RECONSTRUCTION_OF_FROZEN_BASELINE_GRID_POINT,False
