candidate_id,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,formal_candidate_selected,formal_selection_status,sequential_closure_sweep_pass,minimum_table_clearance_m,minimum_clearance_link,minimum_clearance_finger_stage,minimum_clearance_joint_position_rad,checked_state_count,maximum_joint_increment_rad,endpoint_only_table_clearance_m,first_table_violation_clearance_m,first_table_violation_link,first_table_violation_finger_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
raw_seed_351,351,20947,0.0222327727 -0.00806658605 -0.0157352464,CLOSURE_SURVIVE,20914 19672 19622,0.0121339296 0.0203049556 -0.0101693868 | -0.0212239607 0.0104485648 -0.0133539435 | -0.00591094502 -0.0229018176 -0.018688138,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.0102695501247283,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.007726138934305071,-0.007726138934305071,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_191,191,20929,0.0231087687 0.00512629757 -0.00962066383,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20995,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_182,182,14278,-0.0135684611 -0.0111782617 -0.0131594499,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_20983,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_289,289,12414,-0.0160739347 -0.00762287418 -0.00800868036,CLOSURE_SURVIVE,18230 20922 17864,0.00330312904 -0.0207928751 -0.00287327898 | 0.0215449309 0.00975915404 -0.012639098 | -0.0144861078 0.0137326206 -0.00819392837,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.017996116200606815,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.015452705010183587,-0.015452705010183587,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_227,227,21266,-0.00131215013 -0.0223519993 -0.0103269521,CLOSURE_SURVIVE,20949 19697 18398,0.021667199 -0.00949653475 -0.0173791528 | -0.00601814268 0.0228728857 -0.011844826 | -0.0207954716 -0.00770630176 -0.00294937804,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.015677844422366416,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.013134433231943188,-0.013134433231943188,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_063,63,20924,0.0225534929 0.00718706953 -0.0145744794,CLOSURE_REJECT,21067 19653,-0.00203022361 0.0223519993 -0.0186430754 | -0.0231889001 -0.00467974426 -0.0121931765,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21273,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_308,308,29479,-0.0118557055 -0.0141243809 -0.0217876092,CLOSURE_REJECT,20967 20917,0.0134771399 -0.0194353427 -0.0136905687 | 0.0139852252 0.019081861 -0.0189032729,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21547,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_093,93,18438,-0.00441992885 0.0217387562 -0.00371537236,CLOSURE_REJECT,18133 20971,-0.0208551992 0.00295725 -0.00190725097 | 0.00749015981 -0.0224429695 -0.00904133641,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_17965,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_017,17,13437,0.00586626936 -0.0170302682 -0.0118580089,CLOSURE_SURVIVE,21295 19699 18392,0.0223519993 0.00254823982 -0.015926605 | -0.00517958307 0.0230992069 -0.00947670601 | -0.0163043147 -0.0150453715 -0.00448043483,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.0141467876252932,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.011603376434869972,-0.011603376434869972,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_023,23,21218,-0.015850341 0.0157601602 -0.00692623863,CLOSURE_SURVIVE,18118 20968 18173,-0.0184490219 -0.0101590009 -0.00179083724 | 0.012597329 -0.0200385306 -0.00970246705 | 0.00790606777 0.0195108865 -0.00336508537,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.01907855793659108,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.01653514674616785,-0.01653514674616785,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_178,178,18101,-0.00723810306 -0.0197794632 -0.0036451671,CLOSURE_REJECT,18213 20908,0.0162073409 -0.013440156 -0.00183704571 | 0.00544205896 0.0230283666 -0.00895720511,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_18058,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_366,366,13271,0.0156518557 -0.00818910925 -0.0128971084,CLOSURE_REJECT,21309 19676,0.014450695 0.0171598056 -0.0169657044 | -0.0196366739 0.0131877517 -0.0105158054,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21262,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_300,300,21419,-0.021227391 -0.00332214051 -0.021280809,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_21204,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
