object,method,predicted_task_load_factor,predicted_forbidden_clearance_mm,predicted_closure_reserve_rad,predicted_joint_torque_margin_nm,predicted_pad_force_margin_n,isaac_three_full_pads,isaac_off_table,isaac_lift_mm,isaac_hold_s,isaac_slip_mm,isaac_orientation_change_deg,isaac_maximum_hand_effort_nm,isaac_peak_acceleration_m_s2,isaac_acceleration_limit_m_s2,isaac_unauthorized_contacts,isaac_maximum_table_penetration_mm,isaac_post_settle_table_penetration_mm,isaac_controller_completed,isaac_nominal_dynamic_safety_pass,isaac_nominal_research_dynamic_pass,isaac_formal_dynamic_pass
Current D38999/26KJ61SN,V4 nominal G_delta best,1.9678090262104504,0.5425878829167278,0.22987912224941565,0.44263854468988084,5.479770291569949,True,True,55.77377454669524,2.0,0.500168981319485,5.299612018038165,0.4799438416957855,0.03602590311269083,0.020831640276949046,0,0.0012390613556012564,0.00024068355561346344,True,False,False,False
Current D38999/26KJ61SN,V5 robust selector,1.3692667982804327,1.9114519986507668,0.22979383741404924,0.24271392461261188,4.642657602165269,True,True,55.83070179470456,2.0,0.3990801864200015,4.771542489572792,0.6114317178726196,0.01116377819987413,0.020831640276949046,0,0.0012390613556012564,0.0003300905227765494,True,True,True,False
TE D38999/26FJ35PN,V4 nominal G_delta best,1.8780264595089202,0.7510311192449806,0.23691374963211698,0.42077352507837484,5.345818977904436,True,True,54.644341979884935,2.0,0.5901559862039076,0.21575335059572157,0.6871274709701538,0.059501666279704324,0.020831640276949046,0,0.00042915344239391473,0.00042915344239391473,True,False,False,False
TE D38999/26FJ35PN,V5 robust selector,1.28156457174181,0.9135708073852639,0.23423987637395416,0.19773339569087423,4.4311189354544505,True,True,55.7701480339523,2.0,0.5090818995345705,0.15610770716506045,0.6121869683265686,0.014645038068650251,0.020831640276949046,0,0.00014603137971080926,0.00014603137971080926,True,True,True,False
