candidate_id,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,formal_candidate_selected,formal_selection_status,sequential_closure_sweep_pass,minimum_table_clearance_m,minimum_clearance_link,minimum_clearance_finger_stage,minimum_clearance_joint_position_rad,checked_state_count,maximum_joint_increment_rad,endpoint_only_table_clearance_m,first_table_violation_clearance_m,first_table_violation_link,first_table_violation_finger_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
raw_seed_284,284,100456,-0.0101842656 -0.0217200785 0.0125743127,CLOSURE_SURVIVE,100697 98753 99101,0.0182773116 -0.0155401995 0.0206713532 | 0.00746833582 0.022801011 0.00724834866 | -0.0239836572 -0.000499254096 0.00488808095,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.00807910927507649,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.005535698084653262,-0.005535698084653262,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_108,108,100553,0.00169956553 -0.0239358223 0.0177712156,CLOSURE_SURVIVE,100793 99988 7391,0.0235429404 -0.00465738133 0.0258682561 | -0.00459875057 0.0235526204 0.0124452516 | -0.0196357666 -0.0103329418 0.0251487897,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.013276012187129593,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.010732600996706365,-0.010732600996706365,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_096,96,100108,-0.0179720815 0.0159012538 0.0126628551,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_100370,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_110,110,7283,-0.0220569605 0.00242166727 0.0262060967,CLOSURE_REJECT,100497 99677,-0.00543727842 -0.0219259968 0.0258324093 | 0.023990133 0.000301441094 0.0208801327,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7057,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_279,279,100316,-0.0211414325 -0.00795318245 0.015000679,CLOSURE_SURVIVE,100553 99748 7150,0.00224281833 -0.0238823169 0.0230977195 | 0.021843244 0.00991243334 0.0178850154 | -0.015502269 0.0158808799 0.0223782531,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.010505475590291469,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.00796206439986824,-0.00796206439986824,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_010,10,99824,0.0153360412 0.0165843212 0.014529617,CLOSURE_SURVIVE,100061 100408 7810,-0.0127074031 0.0203447202 0.0226266575 | -0.0150853516 -0.0186505955 0.0174139534 | 0.02097846 -0.00725123994 0.0219071911,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.010034413584605772,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.007491002394182544,-0.007491002394182544,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_307,307,100516,-0.00187165119 -0.0239188734 0.0213828729,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_100771,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_257,257,4439,0.0221395186 0.00158343513 0.0161402856,CLOSURE_SURVIVE,99929 100216 7678,0.0046452322 0.0235449463 0.0242373261 | -0.023695755 0.00373180031 0.0133640572 | 0.0103429814 -0.0196304004 0.0235178597,FAST_REJECT,HAND_TABLE_PENETRATION,False,REJECTED_BEFORE_DIVERSITY,False,-0.011645082186805267,f3Link3,FINGER_3_CLOSURE_0143,0.7 0.6492795 0.58295525 0.465267107,759,0.0014960357142858038,-0.009101670996382039,-0.009101670996382039,f2Link2,PREGRASP,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_054,54,7378,-0.0202917253 -0.00897759582 0.0210736854,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7609,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
raw_seed_106,106,99872,0.0103297791 0.0200907685 0.0142180535,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_100095,False,REJECTED_BEFORE_DIVERSITY,False,,,,,0,0.0,,,,,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
