candidate_id,descriptor_id,palm_configuration_rad,graspgenx_score,source_sample_index,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,diversity_selected_after_fast_filter,diversity_selection_status,sequential_closure_sweep_pass,minimum_table_clearance_m,minimum_clearance_link,minimum_clearance_finger_stage,minimum_clearance_joint_position_rad,checked_state_count,maximum_joint_increment_rad,endpoint_only_table_clearance_m,first_table_violation_clearance_m,first_table_violation_link,first_table_violation_finger_stage,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
graspgenx_880,kcg_3f_palm_002,0.03488888888888889,0.918996274471283,263,98764,0.00519199793 0.0234199726 0.00166666675,CLOSURE_SURVIVE,98921 99364 98597,-0.0140745486 0.019424377 0.00772046313 | -0.00300605145 -0.0238071456 -0.00200000009 | 0.0219952154 0.00957702504 0.00664750631,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.0052876772685848394,f3Link3,FINGER_3_CLOSURE_0086,0.0348888889 0.561247148 0.546247832 0.408254121,578,0.0014999316406251184,0.008066235314132031,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.7578787730054509,0.775469744789333,,,,,1.6220539116229875,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_836,kcg_3f_palm_002,0.03488888888888889,0.9242917895317078,261,98728,0.00966124517 0.0219570558 0.00166666675,CLOSURE_SURVIVE,98885 99316 98561,-0.0102657772 0.0216831461 0.00761476874 | -0.0082212731 -0.0225356057 -0.00200000009 | 0.0233730233 0.00539335256 0.00641524698,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005287677268584812,f3Link3,FINGER_3_CLOSURE_0086,0.0348888889 0.56274708 0.5447479 0.408254121,580,0.0014999316406251184,0.00806623531413192,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.8543178890423531,0.8672749788689146,,,,,1.7511384071296026,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_776,kcg_3f_palm_002,0.03488888888888889,0.9344090819358826,223,99304,-0.00966124517 -0.0219570558 0.00166666675,CLOSURE_SURVIVE,99472 98716 99149,0.0118413477 -0.0208694134 0.00534005747 | 0.0111660208 0.021230383 -0.00200000009 | -0.0228318807 -0.00736657257 0.00789997797,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005287677268584812,f3Link3,FINGER_3_CLOSURE_0086,0.0348888889 0.606245098 0.532748447 0.408254121,588,0.0014999316406251184,0.00806623531413192,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.7709234122158056,0.8221604273294822,,,,,1.7875592632184207,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_813,kcg_3f_palm_002,0.03488888888888889,0.928134560585022,333,98776,0.00364914212 0.0237094019 0.00166666675,CLOSURE_SURVIVE,99016 99328 98633,-0.0215608618 0.0105356645 -0.00149019839 | -0.00746629428 -0.0228016303 -0.00145405579 | 0.0195478362 0.0139022617 0.00739843332,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005287677268584812,f3Link3,FINGER_3_CLOSURE_0086,0.0348888889 0.691741201 0.514749268 0.408254121,632,0.0014999316406251184,0.00806623531413192,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_SURVIVE,1.2896115889923125,1.3305270557240618,10.159190279560804,,1.5888828158836001,,1.4278607532672458,,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_684,kcg_3f_palm_002,0.03488888888888889,0.9425711631774902,135,99076,-0.0238973031 0.00209065972 0.00166666675,CLOSURE_SURVIVE,99316 99616 100072,-0.00772811149 -0.0227212182 0.00445019218 | 0.0228719054 -0.00723462899 -0.00200000009 | -0.014592308 0.0190533555 0.0109300558,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005287636767579373,f3Link3,FINGER_3_CLOSURE_0273,0.0348888889 0.617248498 0.605408952 0.409002039,1056,0.0014981759656653715,0.0064176044224645845,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.16122468497074322,0.23306771366124815,,,,,1.4152282374504945,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_811,kcg_3f_palm_002,0.03488888888888889,0.92832350730896,203,98968,-0.0187083724 0.0150149502 0.00166666675,CLOSURE_SURVIVE,99137 99544 98813,-0.0234205017 -0.00518972874 0.00805837919 | 0.0190404806 -0.014610275 -0.00200000009 | -0.000965667618 0.0239683884 0.00838114209,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005287636767579373,f3Link3,FINGER_3_CLOSURE_0273,0.0348888889 0.570805043 0.551492417 0.409002039,1039,0.0014981759656653715,0.009359026813912985,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.6120924417363629,0.661939673109398,,,,,2.015966355603781,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_872,kcg_3f_palm_002,0.03488888888888889,0.9197823405265808,211,99100,-0.0239657439 -0.00104645003 0.00166666675,CLOSURE_SURVIVE,99281 99664 98957,-0.0125753826 -0.0204268159 0.00672009928 | 0.0239971466 -8.71977727e-05 -0.00200000009 | -0.0172905079 0.0166289641 0.00768199494,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005287636767579373,f3Link3,FINGER_3_CLOSURE_0273,0.0348888889 0.588783155 0.546999373 0.409002039,1045,0.0014981759656653715,0.009131466988796855,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.6256020487973515,0.6442674020738942,,,,,1.4782190958834376,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_699,kcg_3f_palm_003,0.05233333333333334,0.9415977597236633,213,98992,-0.0205081651 0.0124445625 0.00166666675,CLOSURE_SURVIVE,99160 99556 98837,-0.0222307169 -0.00903134509 0.00630579499 | 0.0197242015 -0.0136561444 -0.00200000009 | -0.00387656951 0.0236718534 0.00751729711,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005290374961619965,f3Link3,FINGER_3_CLOSURE_0086,0.0523333333 0.594245645 0.5447479 0.408254121,582,0.0014999316406251184,0.008079970461073283,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.8101998236213674,0.8629880626569214,,,,,1.821859549063979,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_612,kcg_3f_palm_003,0.05233333333333334,0.9489601850509644,227,99208,-0.0193454109 -0.0141847455 0.00166666675,CLOSURE_SURVIVE,99389 98620 99065,0.000264917526 -0.0239913286 0.00510470628 | 0.0202877649 0.0127989944 -0.00200000009 | -0.0235592704 0.00455847244 0.00723620761,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005290374961619937,f3Link3,FINGER_3_CLOSURE_0086,0.0523333333 0.609244961 0.529748584 0.408254121,594,0.0014999316406251184,0.008079970461073283,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_REJECT,0.9450624947328985,1.0655070227802326,,,,,1.9602821042958773,PRESCRIBED_TASK_SCALE_INFEASIBLE_UNDER_OPERATION_CAP,0,OFFLINE_RESEARCH_NOT_FORMAL
graspgenx_726,kcg_3f_palm_003,0.05233333333333334,0.9384785294532776,159,99292,-0.01107662 -0.0212781687 0.00166666675,CLOSURE_SURVIVE,99508 98692 99148,0.0155890086 -0.018237255 -0.00200000009 | 0.013749394 0.0196573797 0.000240096753 | -0.0227407817 -0.00766688445 0.00481461613,FAST_SURVIVE,,True,SELECTED_AFTER_SWEEP_DIVERSITY,True,0.005290374961619937,f3Link3,FINGER_3_CLOSURE_0086,0.0523333333 0.723239766 0.474251113 0.408254121,658,0.0014999316406251184,0.008079970461073283,,,,UNRESOLVED_UNTIL_PUBLIC_LEGACY_FORWARDER | HAND_SELF_AND_NONPAD_OBJECT_CONTROL_STATES_SAMPLED_NOT_CONTINUOUS | HAND_TABLE_SAMPLED_NOT_CONTINUOUS | ARM_LINK_AND_JOINT_INTERPOLATED_PATH_NOT_FAST_CHECKED,TASK_SURVIVE,1.5801860084335106,1.6711981335940034,8.596684233721668,,1.2579869238636272,,1.4777802494813561,,0,OFFLINE_RESEARCH_NOT_FORMAL
